,Insight,Insight_include,Insight_add,Mindfulness,Mindfulness_include,Mindfulness_add,Compassion,Compassion_include,Compassion_add
Prompt name,insight,,,mindfulness,,,compassion,,
Definition,"the clarity of understanding of one's thoughts, feelings and behavior",,,"
""Mindfulness"": ""Mindfulness is the psychological process of bringing one's attention to the present moment, which can be cultivated through meditation and other practices, and is often associated with increased awareness and acceptance of one's thoughts, feelings, and bodily sensations."", ",,,,,
Reference,"Grant, A. M., Franklin, J., & Langford, P. (2002). The self-reflection and insight scale: A new measure of private self-consciousness. Social Behavior and Personality: an international journal, 30(8), 821-835.",,,"gpt-4o-mini which references: "":""Kabat-Zinn, J. (1990). Full Catastrophe Living: Using the Wisdom of Your Body and Mind to Face Stress, Pain, and Illness. Delacorte.""
",,,,,
Examples,"['clarity', 'enlightenment', 'wise']",,,"['mindful', 'meditation', 'awareness', 'nonjudgemental', 'present-focused']",,,"['compassion', 'love', 'kind', 'help others']",,
0,acceptance,,,acceptance,,,acceptance,,
1,acknowledgment,,,acceptance and commitment,,,active listening,,
2,analysis,,,acceptance and commitment therapy,,,advocacy,,
3,awaken,,,acceptance of feelings,,,altruism,,
4,awareness,,,acceptance of self,,,assist,,
5,awareness of self,,,acceptance practice,,,attachment,,
6,behavioral insight,,,alertness,,,awareness,,
7,breakthrough,,,attention,,,benevolence,,
8,clarity,,,awareness,,,bonding,,
9,clarity of feeling,,,awareness of body,,,care,,
10,clarity of mind,,,awareness of breath,,,caring,,
11,clarity of perception,,,awareness of feelings,,,charity,,
12,clarity of thought,,,awareness of sensations,,,closeness,,
13,cognition,,,awareness of thoughts,,,communal care,,
14,cognitive,,,awareness training,,,community,,
15,cognitive clarity,,,body scan,,,companionship,,
16,cognitive insight,,,breath,,,compassion,,
17,coherence,,,breathing,,,compassion awareness,,
18,comprehension,,,clarity,,,compassion cultivation,,
19,conscious thought,,,cognitive flexibility,,,compassion development,,
20,contemplation,,,compassion,,,compassion fatigue,,
21,critical thinking,,,conscious awareness,,,compassion for others,,
22,deep understanding,,,cultivating presence,,,compassion for self,,
23,delve,,,deep listening,,,compassion in action,,
24,depth,,,detachment,,,compassion interventions,,
25,depth of understanding,,,disengagement,,,compassion meditation,,
26,discernment,,,emotional regulation,,,compassion mindset,,
27,emotional awareness,,,emotions,,,compassion practice,,
28,emotional clarity,,,equanimity,,,compassion research,,
29,emotional intelligence,,,feelings,,,compassion skills,,
30,enlightenment,,,flow state,,,compassion training,,
31,epiphany,,,flowing,,,compassion-focused therapy,,
32,focus,,,focus,,,compassionate communication,,
33,grasp,,,gratitude,,,compassionate leadership,,
34,growth,,,grounding,,,compassionate response,,
35,holistic,,,harmony,,,concern,,
36,inner vision,,,inner peace,,,connection,,
37,inner voice,,,intention,,,consideration,,
38,inner wisdom,,,intention setting,,,embrace,,
39,insightfulness,,,introspection,,,emotional attunement,,
40,interpret,,,kindness,,,emotional intelligence,,
41,introspection,,,letting go,,,emotional support,,
42,introspective journey,,,listening,,,empathy,,
43,intuition,,,loving-kindness,,,encouragement,,
44,knowledge,,,meditate,,,engagement,,
45,learning,,,meditation,,,forgiveness,,
46,life lessons,,,mental clarity,,,generosity,,
47,lucidity,,,mindful,,,gentleness,,
48,mental clarity,,,mindful awareness,,,grace,,
49,mental insight,,,mindful breathing,,,healing,,
50,mindfulness,,,mindful communication,,,help others,,
51,observation,,,mindful eating,,,human connection,,
52,perception,,,mindful journaling,,,humanity,,
53,perceptual insight,,,mindful listening,,,inclusion,,
54,personal growth,,,mindful movement,,,kind,,
55,personal insight,,,mindful walking,,,kindness,,
56,perspective,,,mindfulness practice,,,listening,,
57,profound realization,,,mindfulness practices,,,love,,
58,profound understanding,,,mindfulness-based stress reduction,,,love in action,,
59,psychological insight,,,moment to moment,,,mercy,,
60,realization,,,non-jud,,,mindfulness,,
61,recognition,,,non-reactivity,,,non-judgment,,
62,reflection,,,nonjudgemental,,,nonjudgmental,,
63,revelation,,,observation,,,nurturing,,
64,self-awareness,,,open awareness,,,openness,,
65,self-discovery,,,openness,,,outreach,,
66,self-examination,,,patience,,,patience,,
67,self-illumination,,,pay attention,,,positive regard,,
68,self-knowledge,,,presence,,,presence,,
69,self-realization,,,present moment,,,psychological safety,,
70,self-reflection,,,present-focused,,,reassurance,,
71,situational awareness,,,reflection,,,relational,,
72,synthesis,,,relaxation,,,relational care,,
73,transformative insight,,,resilience,,,relational empathy,,
74,transparency,,,self-acceptance,,,resilience,,
75,true self,,,self-awareness,,,respect,,
76,truth,,,self-compassion,,,responsiveness,,
77,understanding,,,self-reflection,,,self-comp,,
78,understanding oneself,,,self-regulation,,,self-compassion,,
79,understanding self,,,sensations,,,selflessness,,
80,unveil,,,sensory awareness,,,service,,
81,unveil emotions,,,sensory experience,,,shared humanity,,
82,wisdom,,,stillness,,,social support,,
83,wise,,,stress reduction,,,solace,,
84,,,,thoughts,,,solidarity,,
85,,,,visualization,,,support,,
86,,,,waking up,,,sympathy,,
87,,,,wellbeing,,,tenderness,,
88,,,,,,,trust,,
89,,,,,,,understanding,,
90,,,,,,,uplift,,
91,,,,,,,uplifting,,
92,,,,,,,upliftment,,
93,,,,,,,validation,,
94,,,,,,,vulnerability,,
95,,,,,,,warmth,,
